test_name,price_ZAR,turnaround_days,sample_prep,notes
Core Water Analysis,1700.0,5.0,Collect 500 mL raw water in a sterile polypropylene bottle; leave 1 cm headspace; keep chilled (≤8 °C) and deliver within 24 h.,"Includes pH, EC, turbidity, metals"
Full Water (SANS 241),9200.0,8.0,"Collect 1 L water in an acid‑washed HDPE bottle; immediately acidify to pH<2 with 2 mL conc. HNO₃; store at ≤6 °C, no headspace.",
Alkalinity (water),350.0,3.0,"250 mL glass bottle, fill to brim, seal tightly; do not acidify; transport at ambient temp, test within 48 h.",
Chemical Residual (chlorine),225.0,2.0,"100 mL amber glass vial, zero headspace; add 1 drop sodium thiosulfate after sampling; keep on ice.",
Soil Microbes,350.0,7.0,Scoop 500 g composite soil (5 subsamples) into sterile whirl‑pak; avoid stones; keep at 4 °C; ship within 36 h.,
Soil Structure,300.0,6.0,Collect 1 kg intact core in PVC sleeve (10 cm × 10 cm); seal ends with parafilm; keep upright; ship ambient.,
Compost Analysis (SANS 1639),2555.0,10.0,Grab 1 kg composite sample (min 10 spots) in double zip bag; air‑dry for 2 h under shade; ship ambient.,
UV Water Disinfection Efficacy,2800.0,12.0,Provide 1 L influent + 1 L effluent in separate sterile bottles; label clearly; keep ≤10 °C; deliver within 6 h of sampling.,
Drop‑off location,,12.0,Collect 1 L in a sterile polypropylene tube; no headspace; keep chilled (≤4 °C); deliver within 24 h.,"Physical Address: Modderfontein Industrial Complex, Standerton Ave (via Nobel Gate), Modderfontein 1645, Gauteng, SA. Samples may be left at the permit office on the corner of Nobel Ave & Standerton Rd."
SANS 1639 - ICP Chemical Determinants:Arsenic as As,100.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 1639 - Chemical Determinants:Nitrogen Ammonium,323.0,4.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",SANS 1639 - Chemical Determinants:Nitrogen Ammonium
SANS 1639 - ICP Chemical Determinants:Titanium as Ti,100.0,4.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 1639 - ICP Chemical Determinants:Silicon as Si,100.0,4.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 1639 - ICP Chemical Determinants:Strontium as Sr,100.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 1639 - ICP Chemical Determinants:Lead as Pb,100.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 1639 - ICP Chemical Determinants:Rhodium as Rh,100.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 241 - ICP Chemical Determinants:Litium as Li,50.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP
SANS 1639 - ICP Chemical Determinants:Litium as Li,100.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 1639 - ICP Chemical Determinants:Potassium as K,100.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
"SANS 1639 - Chemical Determinants:Potential Harmful Elements (Zn, Pb, As, Cd, Co, Hg, Se, Ni.)",1489.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.","SANS 1639 - Chemical Determinants:Potential Harmful Elements (Zn, Pb, As, Cd, Co, Hg, Se, Ni.)"
SANS 241 - ICP Chemical Determinants:Vanadium as V,50.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP
SANS 241 - ICP Chemical Determinants:Potassium as K,50.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP
SANS 241 - Chemical Determinants:Chloride as Cl- Titrimetric,331.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",Titrimetric
Water Retention,1650.0,5.0,250 mL water sample in clean plastic bottle; chill at ≤10 °C.,Water Retention
SANS 1639 - ICP Chemical Determinants:Primary/Secondary/Micro Essential Elements ICP Scan,980.0,4.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.","P, K , Ca, S, Mg, Fe, Zn, Mn, Mo, Cu, B"
SANS 1639 - Chemical Determinants:Fluoride (Tisab IV),702.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",(Tisab IV)
SANS 241 - ICP Chemical Determinants:Tin as Sn,50.0,4.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP
SANS 241 - Organic Chemical Determinants:Bromoform,609.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",Gas Chromatography
SANS 241 - ICP Chemical Determinants:Silicon as Si,50.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP
SANS 241 - Chemical Determinants:Nitrite as N02-,220.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",SANS 5210 (Spectrophotometric)
SANS 241 - Organic Chemical Determinants:Phenols (Influent Water),848.0,7.0,250 mL water sample in clean plastic bottle; chill at ≤10 °C.,Distillation & Titration
SANS 241 - ICP Chemical Determinants:Manganese as Mn - Aesthetic & Chronic health,50.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP
SANS 241 - Chemical Determinants:Nitrogen as N,460.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",Kjeldhal Methodology
SANS 241 - ICP Chemical Determinants:Chromium VI,50.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP
SANS 1639 - ICP Chemical Determinants:Vanadium as V,100.0,6.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
SANS 1639 - ICP Chemical Determinants:Thallium as Tl,100.0,5.0,"250 mL water sample preserved with 2 drops 2 M HNO₃, keep chilled.",ICP/AAS
